I. Rebello, J. Page 1108 Admit on the question of law reproduced below.	None
Whether on the facts and in the circumstances of the case and in law, the Honble Tribunal was right in cancelling the assessment Under Section 16(3) r.w.	Issue
Section 17 of the Wealth Tax Act, by holding that the notice under Section 16(2), being out of time ignoring the sections crucial feature of its applicability to the returns filed under Section 14, 15 or Under Section 16(4)(i) only and not to the one filed Under Section 17, as in the instant case? The appeal is in respect of the assessment year 1989-90.	Issue
It is the contention of the Revenue that the reassessment proceedings under Section 17 are entirely different from the regular assessment proceedings.	ArgumentRespondent
The notice under Section 16(2) is necessarily and compulsorily to be issued only in a regular assessment.	ArgumentRespondent
In the instant case, it is submitted that on notice dated 19.8.1997 being issued under Section 17, the assessee had filed return of wealth on 14.10.1997.	ArgumentRespondent
The assessment had to be completed within two years from the end of financial year in which notice was issued which in the instant case would be 31.3.2000.	Fact
The Assessing Officer issued notice under Section 16 (2) on 24.9.1999 which is after the expiry of one year from filing of the return.	Fact
The assessment notice under Section 16(3) read with Section 17 was issued on 29.3.2000.	Fact
It is therefore, submitted that considering the terminology of Section 17, there is no requirement that notice under Section 16(2) has to be served to proceed with the assessment as the assessment under Section 17 is independent.	ArgumentRespondent
It is therefore, submitted that the impugned order of the tribunal be set aside.	ArgumentRespondent
On the other hand, on behalf of the appellant, the learned Counsel submitted that a perusal of Section 17 of the Wealth Tax Act makes it clear, that other provisions of the Act shall so far as may be apply, as if the return was filed under Section 14.	ArgumentPetitioner
It is therefore, submitted that the return filed pursuant to proceedings under Section 17 of the W.T. Act has to be treated as return under Section 14 and as the section falls in Chapter IV, of Assessment, the other provisions to the extent applicable would be attracted including Section 16(2) and as such the view taken by the tribunal is the correct view.	ArgumentPetitioner
It is further submitted that there was similar omission in procedure for reassessment under Section 148 of the Income Tax Act.	ArgumentPetitioner
Noting the lacunae, Parliament amended Section 148 of the Income Tax Act by Finance Act, 2006 with effect from 1.10.1991.	ArgumentPetitioner
Consequently it is submitted that the question as framed would not arise.	ArgumentPetitioner
The learned tribunal by a common order disposed of the appeal from which the present appeal arises along with other appeals by its order dated 4.3.2003 for the assessment years 1987-88 to 1992-93.	RulingByLowerCourt
The arguments advanced before the tribunal on behalf of the revenue are similar to what were advanced by the learned Counsel before this Court.	Fact
The appeal Page 1109 before the tribunal was against the order of the Commissioner (Appeals) which has taken a view that the provision of Section 17(1) of the Wealth Tax Act are similar to Section 14 of the said Act and as the notices were issued beyond the time prescribed, the assessments are not correct in law and therefore, cancelled.	Fact
The Tribunal noted that the Assessing Officer himself was of the view that in proceedings for reassessment under Section 17, the procedure under Section 16 was to be followed.	RulingByLowerCourt
The Tribunal placed reliance on the judgment of the Supreme Court in the case of R. Dalmias v. CIT 236 ITR 480.	RulingByLowerCourt
The tribunal noted from the facts of that case, that under the I.T. Act, at the material time under Section 144(B) of the Income Tax Act if assessment had to be made under Section 143 (3) of the Act (which corresponds to Section 16(3) of the Wealth Tax Act), if the ITO proposed to make variation to the returned income, the procedure laid down therein had to be followed.	RulingByLowerCourt
Before the Supreme Court the question was whether in a case of reassessment to be made under Section 147, the I.T.O. can invoke Section 144(B) and thereby extend time limit for completion thereof.	PrecedentNotReliedUpon
The assessee had contended that Section 144(B) did not apply to assessment made under Section 147 and applies only to assessments made under Section 143.	PrecedentNotReliedUpon
The contention of Revenue on the other hand was that Section 147 by itself did not permit assessment and determination of tax due and therefore, recourse to Section 143 was necessary.	PrecedentNotReliedUpon
It was argued that the assessment or reassessment was not under Section 147 but under Sections 143/147.	PrecedentNotReliedUpon
The argument of the assessee was rejected.	PrecedentNotReliedUpon
The Supreme Court noted that the submission of Assessee cannot be accepted because the language of Section 148 cannot be ignored.	PrecedentNotReliedUpon
Section 144(B) the court held is a procedural provision.	PrecedentNotReliedUpon
It fits into the procedural scheme and, therefore, it cannot be excluded by reason of the use of the words so far as may be Nor was there any other good reason to exclude it from the procedure to be followed subsequent to notice Under Section 148.	PrecedentNotReliedUpon
The court then observed as under: As to the argument based upon Sections 144A, 246 and 263 we do not doubt that 5 assessments under Section 143 and assessments and reassessments under Section 147 are different, but in making assessments and re-assessments under Section 147 the procedure laid down in section subsequent to Section 139 including that laid down by Section 144B, has to be followed.	PrecedentNotReliedUpon
Considering this judgment, the tribunal held that Section 16 is applicable to reassessment under Section 17 which goes without saying that the requirement of giving notice under the proviso to Section 16(2) is a mandatory requirement and consequently notice has to be issued before the time prescribed by the proviso to the Section 16(2) expires.	RulingByLowerCourt
The question that we are called upon to answer is whether the view taken by the tribunal flows from the provisions of Section 17 read with Sections 14 to 16 of the Wealth Tax Act.	Issue
The relevant provisions as they then stood read as under: 7(1).	Statute
If the Assessing Officer has reason to believe that the net wealth Page 1110 chargeable to tax in respect of which any person is assessable under this Act has escaped assessment for any assessment year (whether by reason of under-assessment or assessment at too low a rate or otherwise), he may, subject to the other provisions of this section and Section 17A, serve on such 6 person a notice requiring him to furnish within such period, not being less than thirty days, as may be specified in the notice, a return in the prescribed form and verified in the prescribed manner setting forth the net wealth in respect of which such person is assessable as on the valuation date mentioned in the notice, along with such other particulars as may be required by the notice, and may proceed to assess or reassess such net wealth and also any other net wealth chargeable to tax in respect of which such person is assessable, which has escaped assessment and which comes to his notice subsequently in the course of the proceedings under this section for the assessment year concerned (hereafter in this section referred to as the relevant assessment year) and the provisions of this Act shall so far as may be apply as if the return were a return required to be furnished under Section 14.	Statute
